,budget,area size,environmental type,project type,soil type,material
2576,167795,9078,Suburban,Residential,Clay,Steel
2577,426495,9941,Urban,Industrial,Peaty,Steel
2578,219373,6373,Rural,Infrastructure,Silty,Brick
2579,939065,5003,Coastal,Industrial,Clay,Steel
2580,207133,1397,Rural,Industrial,Peaty,Steel
2581,884829,1210,Mountain,Industrial,Loamy,Concrete
2582,714513,4195,Mountain,Industrial,Peaty,Steel
2583,305286,3186,Coastal,Residential,Silty,Steel
2584,823348,7688,Suburban,Infrastructure,Sandy,Brick
2585,598612,6278,Mountain,Residential,Sandy,Wood
2586,186037,8268,Suburban,Infrastructure,Clay,Concrete
2587,398076,5513,Suburban,Infrastructure,Loamy,Steel
2588,670008,5012,Coastal,Infrastructure,Clay,Wood
2589,700493,915,Mountain,Residential,Chalky,Brick
2590,978181,4680,Rural,Commercial,Sandy,Concrete
2591,630347,4762,Suburban,Industrial,Clay,Brick
2592,632605,3015,Suburban,Commercial,Chalky,Wood
2593,735495,9787,Mountain,Commercial,Loamy,Concrete
2594,307190,9501,Mountain,Commercial,Peaty,Steel
2595,450280,6140,Coastal,Industrial,Clay,Wood
2596,111459,7116,Urban,Commercial,Chalky,Brick
2597,771985,1492,Urban,Industrial,Sandy,Concrete
2598,210422,9973,Urban,Industrial,Peaty,Wood
2599,842325,4870,Suburban,Industrial,Clay,Wood
2600,111520,2273,Coastal,Infrastructure,Sandy,Brick
2601,922250,4061,Urban,Infrastructure,Peaty,Brick
2602,595560,4316,Mountain,Commercial,Silty,Steel
2603,757512,7133,Suburban,Infrastructure,Sandy,Steel
2604,526123,2256,Suburban,Industrial,Silty,Wood
2605,339793,2873,Mountain,Infrastructure,Loamy,Brick
2606,336818,3076,Coastal,Industrial,Clay,Wood
2607,154832,9583,Coastal,Residential,Chalky,Composite
2608,162999,4684,Urban,Infrastructure,Clay,Brick
2609,358619,9399,Mountain,Commercial,Sandy,Composite
2610,71367,2897,Rural,Residential,Silty,Composite
2611,763315,6469,Coastal,Residential,Silty,Brick
2612,415804,5035,Urban,Infrastructure,Peaty,Steel
2613,918182,7383,Suburban,Infrastructure,Clay,Wood
2614,767038,8627,Coastal,Commercial,Clay,Concrete
2615,245806,9668,Rural,Residential,Sandy,Concrete
2616,914586,1234,Suburban,Industrial,Silty,Brick
2617,717593,1132,Suburban,Infrastructure,Sandy,Steel
2618,54738,4768,Mountain,Residential,Sandy,Steel
2619,567685,4599,Mountain,Residential,Loamy,Steel
2620,354333,3401,Coastal,Industrial,Silty,Concrete
2621,348511,2163,Rural,Residential,Sandy,Composite
2622,212332,6091,Mountain,Infrastructure,Silty,Concrete
2623,392729,4372,Urban,Industrial,Sandy,Steel
2624,873051,1554,Suburban,Infrastructure,Chalky,Concrete
2625,121453,9072,Urban,Commercial,Sandy,Concrete
2626,29816,3582,Suburban,Residential,Sandy,Wood
2627,969744,8507,Urban,Infrastructure,Chalky,Brick
2628,933780,4761,Suburban,Infrastructure,Clay,Composite
2629,779299,2889,Mountain,Commercial,Silty,Wood
2630,875962,4053,Urban,Residential,Peaty,Brick
2631,426715,5638,Coastal,Infrastructure,Chalky,Steel
2632,381000,9899,Coastal,Industrial,Clay,Wood
2633,223567,1044,Rural,Infrastructure,Sandy,Brick
2634,524933,4163,Rural,Infrastructure,Loamy,Wood
2635,605923,2739,Rural,Infrastructure,Clay,Concrete
2636,904235,4273,Urban,Infrastructure,Chalky,Concrete
2637,226184,3127,Suburban,Residential,Loamy,Wood
2638,308090,7118,Rural,Infrastructure,Sandy,Wood
2639,327348,7280,Mountain,Commercial,Clay,Composite
2640,192958,8515,Coastal,Infrastructure,Peaty,Steel
2641,999156,3630,Coastal,Industrial,Silty,Concrete
2642,287707,596,Mountain,Industrial,Silty,Wood
2643,102324,4358,Coastal,Infrastructure,Chalky,Brick
2644,233536,3208,Urban,Infrastructure,Sandy,Steel
2645,767232,5897,Mountain,Commercial,Sandy,Brick
2646,281991,6652,Urban,Commercial,Silty,Steel
2647,36155,956,Coastal,Residential,Clay,Brick
2648,351815,6414,Mountain,Residential,Sandy,Concrete
2649,651179,4868,Mountain,Industrial,Peaty,Wood
2650,879742,4588,Mountain,Infrastructure,Peaty,Wood
2651,470494,9723,Coastal,Infrastructure,Sandy,Composite
2652,159381,8899,Coastal,Commercial,Sandy,Wood
2653,141691,2437,Coastal,Commercial,Silty,Concrete
2654,486410,1646,Rural,Residential,Chalky,Steel
2655,453324,5652,Rural,Residential,Silty,Steel
2656,44707,4799,Suburban,Industrial,Chalky,Wood
2657,947841,8618,Mountain,Commercial,Peaty,Brick
2658,528477,9134,Coastal,Infrastructure,Chalky,Wood
2659,877969,8259,Mountain,Commercial,Silty,Steel
2660,731864,8453,Urban,Commercial,Sandy,Composite
2661,712974,5284,Urban,Commercial,Chalky,Steel
2662,756788,9524,Coastal,Residential,Silty,Brick
2663,363299,1961,Rural,Infrastructure,Peaty,Brick
2664,796713,1659,Suburban,Infrastructure,Loamy,Composite
2665,168492,886,Rural,Residential,Chalky,Brick
2666,484112,7692,Mountain,Residential,Peaty,Wood
2667,180102,5275,Rural,Infrastructure,Peaty,Wood
2668,404274,3909,Coastal,Industrial,Clay,Steel
2669,227285,1189,Rural,Commercial,Loamy,Concrete
2670,348404,7528,Urban,Infrastructure,Chalky,Wood
2671,169476,7762,Coastal,Residential,Silty,Wood
2672,768842,6164,Coastal,Infrastructure,Chalky,Composite
2673,170928,7266,Coastal,Commercial,Chalky,Wood
2674,674560,9861,Rural,Infrastructure,Loamy,Steel
2675,860610,1452,Urban,Residential,Peaty,Composite
2676,306141,6642,Rural,Industrial,Peaty,Wood
2677,953115,6467,Mountain,Residential,Peaty,Steel
2678,653561,7705,Suburban,Industrial,Peaty,Composite
2679,706595,2984,Suburban,Commercial,Loamy,Concrete
2680,258500,2354,Suburban,Residential,Silty,Steel
2681,700417,3731,Mountain,Infrastructure,Sandy,Wood
2682,142311,3097,Mountain,Residential,Clay,Composite
2683,769034,8329,Mountain,Residential,Peaty,Concrete
2684,255546,8686,Urban,Commercial,Peaty,Steel
2685,206733,4483,Coastal,Industrial,Clay,Concrete
2686,661233,7463,Mountain,Industrial,Peaty,Steel
2687,579560,7184,Suburban,Infrastructure,Sandy,Wood
2688,885825,1156,Suburban,Residential,Chalky,Steel
2689,857644,8243,Rural,Commercial,Clay,Wood
2690,156470,7339,Coastal,Industrial,Silty,Steel
2691,654318,6812,Mountain,Infrastructure,Clay,Composite
2692,328647,8438,Coastal,Industrial,Sandy,Steel
2693,934142,6676,Mountain,Infrastructure,Loamy,Steel
2694,16570,3785,Suburban,Industrial,Silty,Brick
2695,340929,6059,Coastal,Infrastructure,Chalky,Brick
2696,543398,4063,Coastal,Industrial,Peaty,Steel
2697,509115,5084,Mountain,Industrial,Clay,Brick
2698,89141,5317,Mountain,Residential,Silty,Wood
2699,22115,5541,Coastal,Infrastructure,Clay,Brick
2700,49062,6682,Mountain,Infrastructure,Chalky,Steel
2701,819343,8526,Coastal,Residential,Clay,Concrete
2702,638349,3744,Rural,Residential,Silty,Concrete
2703,304700,1540,Coastal,Industrial,Sandy,Steel
2704,400479,2773,Urban,Industrial,Loamy,Steel
2705,536257,4129,Coastal,Industrial,Silty,Concrete
2706,840185,2614,Rural,Residential,Clay,Composite
2707,407686,7864,Rural,Industrial,Chalky,Brick
2708,131863,2177,Suburban,Residential,Peaty,Composite
2709,806657,3594,Suburban,Industrial,Peaty,Wood
2710,511076,9690,Urban,Residential,Chalky,Concrete
2711,657296,6373,Mountain,Infrastructure,Clay,Concrete
2712,510726,2784,Mountain,Commercial,Loamy,Composite
2713,688556,5552,Rural,Industrial,Chalky,Wood
2714,640111,7562,Rural,Industrial,Clay,Composite
2715,810101,2089,Suburban,Residential,Silty,Wood
2716,964884,9853,Rural,Infrastructure,Loamy,Steel
2717,920830,3020,Coastal,Infrastructure,Sandy,Steel
2718,644965,5148,Coastal,Industrial,Clay,Concrete
2719,781246,6229,Urban,Residential,Peaty,Steel
2720,58320,1194,Coastal,Residential,Peaty,Composite
2721,974918,8307,Urban,Commercial,Loamy,Wood
2722,506758,4183,Suburban,Infrastructure,Sandy,Concrete
2723,156649,7204,Coastal,Commercial,Clay,Steel
2724,135354,7868,Urban,Infrastructure,Sandy,Concrete
2725,622297,2471,Mountain,Industrial,Silty,Concrete
2726,791725,8555,Urban,Industrial,Sandy,Wood
2727,458625,4718,Coastal,Residential,Silty,Composite
2728,38625,2368,Urban,Residential,Peaty,Composite
2729,746400,2171,Suburban,Residential,Silty,Brick
2730,296233,9774,Rural,Infrastructure,Clay,Composite
2731,46487,2228,Mountain,Residential,Loamy,Steel
2732,469054,8132,Suburban,Industrial,Loamy,Brick
2733,238071,6903,Mountain,Commercial,Clay,Brick
2734,906880,6592,Mountain,Industrial,Clay,Brick
2735,498011,2642,Urban,Industrial,Clay,Brick
2736,322282,9840,Rural,Industrial,Chalky,Composite
2737,183895,6684,Urban,Commercial,Silty,Brick
2738,440424,6510,Urban,Industrial,Clay,Steel
2739,326205,753,Coastal,Infrastructure,Loamy,Steel
2740,958163,4602,Urban,Infrastructure,Sandy,Concrete
2741,111376,4042,Rural,Commercial,Sandy,Steel
2742,435106,3275,Suburban,Infrastructure,Chalky,Concrete
2743,875566,8178,Urban,Residential,Silty,Steel
2744,843487,6712,Rural,Infrastructure,Silty,Brick
2745,777629,5137,Urban,Industrial,Silty,Wood
2746,291652,6534,Mountain,Infrastructure,Loamy,Brick
2747,969791,8957,Urban,Residential,Loamy,Composite
2748,482132,6976,Coastal,Residential,Chalky,Concrete
2749,168056,3648,Mountain,Residential,Silty,Wood
2750,644457,3859,Rural,Industrial,Silty,Steel
2751,804557,1504,Urban,Residential,Clay,Brick
2752,570347,5217,Mountain,Industrial,Silty,Concrete
2753,472785,3771,Mountain,Residential,Loamy,Concrete
2754,637697,709,Suburban,Industrial,Clay,Steel
2755,944591,9579,Mountain,Industrial,Clay,Concrete
2756,509653,6039,Rural,Industrial,Silty,Steel
2757,539992,653,Urban,Infrastructure,Sandy,Steel
2758,988080,4093,Mountain,Residential,Peaty,Brick
2759,738744,9106,Rural,Industrial,Loamy,Concrete
2760,752488,1784,Suburban,Residential,Sandy,Composite
2761,645567,3648,Urban,Infrastructure,Silty,Composite
2762,999964,1268,Coastal,Commercial,Silty,Brick
2763,692568,9674,Mountain,Residential,Sandy,Brick
2764,652804,6107,Mountain,Residential,Silty,Steel
2765,532828,3702,Suburban,Infrastructure,Loamy,Composite
2766,488366,3287,Rural,Industrial,Clay,Concrete
2767,731384,2710,Suburban,Residential,Chalky,Composite
2768,967386,9730,Rural,Commercial,Silty,Brick
2769,429139,7899,Urban,Infrastructure,Silty,Brick
2770,529777,6838,Mountain,Industrial,Sandy,Steel
2771,386188,9233,Coastal,Residential,Clay,Concrete
2772,242549,858,Suburban,Residential,Sandy,Brick
2773,563453,1349,Coastal,Infrastructure,Loamy,Concrete
2774,601491,7998,Coastal,Industrial,Sandy,Composite
2775,494965,5022,Mountain,Industrial,Silty,Steel
2776,800546,3044,Mountain,Infrastructure,Clay,Composite
2777,992469,2331,Coastal,Residential,Loamy,Brick
2778,46321,1972,Urban,Residential,Silty,Brick
2779,345441,829,Coastal,Industrial,Loamy,Concrete
2780,893084,6351,Rural,Industrial,Silty,Brick
2781,895736,7532,Rural,Commercial,Silty,Concrete
2782,255014,5766,Rural,Commercial,Silty,Wood
2783,166498,4854,Rural,Commercial,Chalky,Brick
2784,27772,6935,Suburban,Industrial,Peaty,Composite
2785,900186,8478,Urban,Industrial,Clay,Composite
2786,800144,4738,Suburban,Industrial,Chalky,Concrete
2787,404583,6612,Suburban,Residential,Peaty,Wood
2788,248389,5222,Rural,Infrastructure,Loamy,Brick
2789,649430,1888,Urban,Industrial,Peaty,Steel
2790,626024,4685,Urban,Residential,Peaty,Steel
2791,61924,9411,Coastal,Industrial,Chalky,Composite
2792,538014,3735,Suburban,Infrastructure,Clay,Brick
2793,361296,5076,Urban,Industrial,Sandy,Steel
2794,37723,1600,Mountain,Residential,Peaty,Concrete
2795,923401,9364,Suburban,Industrial,Sandy,Brick
2796,768470,9208,Urban,Industrial,Sandy,Composite
2797,896926,3032,Mountain,Industrial,Silty,Wood
2798,674468,8270,Mountain,Commercial,Sandy,Concrete
2799,218786,4170,Mountain,Industrial,Loamy,Concrete
2800,569931,1281,Rural,Residential,Loamy,Brick
2801,696684,4023,Coastal,Residential,Silty,Wood
2802,900328,6631,Coastal,Residential,Clay,Concrete
2803,224432,5282,Urban,Industrial,Clay,Wood
2804,149999,5495,Urban,Infrastructure,Loamy,Composite
2805,890112,2001,Coastal,Residential,Silty,Concrete
2806,368690,3580,Mountain,Commercial,Clay,Steel
2807,949947,9768,Urban,Infrastructure,Peaty,Composite
2808,89973,9792,Rural,Residential,Clay,Composite
2809,859881,1002,Rural,Industrial,Silty,Concrete
2810,644122,4385,Coastal,Commercial,Loamy,Steel
2811,770674,8509,Urban,Residential,Peaty,Wood
2812,463449,1123,Urban,Commercial,Sandy,Steel
2813,297681,1550,Mountain,Infrastructure,Sandy,Composite
2814,504509,7885,Urban,Residential,Sandy,Concrete
2815,874008,6581,Coastal,Industrial,Loamy,Steel
2816,641810,5984,Urban,Commercial,Silty,Steel
2817,556900,4272,Urban,Residential,Sandy,Composite
2818,235049,4416,Rural,Infrastructure,Clay,Wood
2819,278615,4518,Coastal,Infrastructure,Sandy,Steel
2820,176703,1829,Suburban,Residential,Chalky,Steel
2821,774357,4614,Coastal,Infrastructure,Loamy,Brick
2822,757419,3867,Coastal,Commercial,Chalky,Composite
2823,41348,8595,Suburban,Commercial,Sandy,Brick
2824,205804,5641,Suburban,Commercial,Sandy,Composite
2825,797609,4451,Rural,Commercial,Chalky,Composite
2826,145832,5584,Mountain,Infrastructure,Loamy,Brick
2827,304923,2073,Coastal,Residential,Loamy,Wood
2828,293780,3134,Coastal,Infrastructure,Sandy,Wood
2829,616177,3268,Coastal,Infrastructure,Loamy,Composite
2830,63551,5802,Coastal,Residential,Peaty,Brick
2831,414772,6750,Rural,Residential,Loamy,Steel
2832,955102,1711,Coastal,Industrial,Chalky,Composite
2833,676923,9467,Suburban,Commercial,Silty,Composite
2834,581107,6455,Suburban,Residential,Chalky,Concrete
2835,345914,1660,Urban,Infrastructure,Clay,Wood
2836,430182,6477,Rural,Commercial,Peaty,Brick
2837,222781,7541,Urban,Commercial,Silty,Steel
2838,463105,2883,Coastal,Infrastructure,Sandy,Steel
2839,692347,6376,Rural,Residential,Clay,Composite
2840,875146,4040,Rural,Commercial,Clay,Steel
2841,723708,5135,Mountain,Commercial,Peaty,Steel
2842,558884,1595,Mountain,Commercial,Silty,Composite
2843,960678,6401,Urban,Commercial,Clay,Wood
2844,860538,8715,Urban,Commercial,Silty,Concrete
2845,997471,1579,Suburban,Infrastructure,Silty,Wood
2846,69182,8870,Suburban,Residential,Loamy,Wood
2847,359307,3347,Suburban,Residential,Clay,Concrete
2848,311454,2460,Rural,Commercial,Silty,Composite
2849,328232,1973,Coastal,Commercial,Peaty,Wood
2850,663091,5388,Urban,Commercial,Clay,Brick
2851,149978,5479,Suburban,Infrastructure,Peaty,Brick
2852,833346,1712,Rural,Infrastructure,Peaty,Concrete
2853,906782,6197,Mountain,Industrial,Silty,Brick
2854,579667,9501,Coastal,Commercial,Silty,Composite
2855,481828,919,Mountain,Industrial,Loamy,Steel
2856,780188,4159,Mountain,Industrial,Loamy,Composite
2857,268517,5783,Coastal,Industrial,Clay,Concrete
2858,965154,9970,Rural,Residential,Loamy,Steel
2859,450097,1840,Mountain,Industrial,Sandy,Brick
2860,318557,5637,Rural,Commercial,Clay,Wood
2861,147084,5689,Mountain,Infrastructure,Peaty,Brick
2862,715475,1861,Suburban,Commercial,Loamy,Composite
2863,803583,1091,Coastal,Infrastructure,Loamy,Composite
2864,592004,1026,Urban,Residential,Loamy,Concrete
2865,890179,8355,Coastal,Residential,Silty,Wood
2866,758013,1792,Mountain,Commercial,Peaty,Wood
2867,701738,2154,Mountain,Residential,Loamy,Steel
2868,708012,687,Suburban,Infrastructure,Chalky,Steel
2869,213502,3258,Suburban,Residential,Chalky,Composite
2870,154539,9220,Coastal,Industrial,Peaty,Concrete
2871,434226,9125,Urban,Industrial,Loamy,Composite
2872,531863,6931,Coastal,Residential,Sandy,Wood
2873,131999,6537,Urban,Commercial,Sandy,Wood
2874,124793,8994,Rural,Industrial,Clay,Composite
2875,982195,4682,Mountain,Infrastructure,Clay,Wood
2876,467373,7473,Rural,Commercial,Loamy,Steel
2877,380321,937,Coastal,Residential,Clay,Wood
2878,22289,1332,Urban,Commercial,Silty,Steel
2879,710336,9488,Urban,Commercial,Sandy,Brick
2880,708956,9251,Rural,Commercial,Peaty,Concrete
2881,950675,9453,Suburban,Commercial,Loamy,Concrete
2882,765801,6294,Suburban,Residential,Loamy,Wood
2883,267368,4074,Rural,Residential,Chalky,Concrete
2884,96365,4285,Suburban,Industrial,Sandy,Brick
2885,764950,5720,Urban,Industrial,Sandy,Wood
2886,910446,8250,Coastal,Infrastructure,Sandy,Steel
2887,185211,7318,Suburban,Infrastructure,Clay,Brick
2888,189785,1184,Urban,Industrial,Silty,Brick
2889,957238,4733,Coastal,Industrial,Peaty,Concrete
2890,82588,1077,Urban,Commercial,Clay,Steel
2891,73646,8507,Mountain,Industrial,Silty,Composite
2892,275798,727,Coastal,Infrastructure,Sandy,Brick
2893,492238,2828,Mountain,Industrial,Silty,Concrete
2894,815175,3231,Suburban,Commercial,Clay,Brick
2895,844800,9519,Suburban,Infrastructure,Sandy,Steel
2896,755385,930,Urban,Residential,Clay,Steel
2897,739532,9755,Rural,Industrial,Peaty,Wood
2898,933945,2209,Urban,Residential,Sandy,Composite
2899,129735,6282,Mountain,Infrastructure,Silty,Composite
2900,165683,1734,Coastal,Industrial,Clay,Concrete
2901,916323,8993,Rural,Residential,Chalky,Composite
2902,642259,5705,Urban,Industrial,Silty,Steel
2903,546437,1920,Mountain,Residential,Silty,Composite
2904,372246,1268,Mountain,Residential,Sandy,Concrete
2905,331333,6534,Suburban,Infrastructure,Loamy,Brick
2906,773264,9135,Urban,Industrial,Silty,Composite
2907,949179,3604,Urban,Residential,Clay,Composite
2908,867463,4855,Mountain,Industrial,Chalky,Steel
2909,576956,3805,Urban,Industrial,Peaty,Steel
2910,416889,2038,Suburban,Commercial,Chalky,Brick
2911,622492,1831,Rural,Infrastructure,Clay,Wood
2912,221830,8668,Mountain,Industrial,Sandy,Composite
2913,206501,7439,Suburban,Industrial,Clay,Steel
2914,426885,8761,Suburban,Industrial,Loamy,Wood
2915,175140,6058,Coastal,Infrastructure,Loamy,Composite
2916,754149,6444,Rural,Infrastructure,Loamy,Composite
2917,150507,7626,Suburban,Industrial,Silty,Wood
2918,235160,980,Coastal,Infrastructure,Sandy,Steel
2919,193321,5763,Coastal,Commercial,Loamy,Brick
2920,571672,4594,Urban,Infrastructure,Peaty,Composite
2921,531998,6667,Suburban,Commercial,Peaty,Concrete
2922,616217,3293,Mountain,Commercial,Clay,Concrete
2923,924391,3392,Urban,Commercial,Loamy,Concrete
2924,610441,1698,Rural,Residential,Silty,Brick
2925,769416,8511,Mountain,Infrastructure,Peaty,Composite
2926,85388,2872,Mountain,Industrial,Chalky,Steel
2927,565689,2392,Coastal,Commercial,Sandy,Steel
2928,528727,6290,Suburban,Industrial,Chalky,Brick
2929,737191,2383,Coastal,Commercial,Peaty,Composite
2930,653791,5967,Coastal,Industrial,Peaty,Wood
2931,242601,1297,Suburban,Residential,Clay,Wood
2932,137834,8709,Suburban,Commercial,Clay,Composite
2933,44084,8735,Suburban,Residential,Loamy,Composite
2934,261459,654,Coastal,Residential,Sandy,Steel
2935,644929,5462,Suburban,Infrastructure,Loamy,Brick
2936,115111,4580,Suburban,Industrial,Clay,Brick
2937,459042,8550,Mountain,Commercial,Silty,Steel
2938,439667,6447,Coastal,Residential,Sandy,Concrete
2939,672587,4820,Suburban,Industrial,Silty,Wood
2940,172982,2392,Coastal,Infrastructure,Loamy,Composite
2941,308185,9589,Rural,Industrial,Clay,Wood
2942,885352,3924,Urban,Industrial,Sandy,Wood
2943,337825,9950,Mountain,Infrastructure,Loamy,Brick
2944,244386,2515,Mountain,Infrastructure,Peaty,Steel
2945,353715,7173,Coastal,Infrastructure,Loamy,Concrete
2946,206553,6532,Suburban,Residential,Chalky,Concrete
2947,471792,5333,Coastal,Industrial,Peaty,Steel
2948,511174,9565,Urban,Infrastructure,Silty,Wood
2949,794625,1065,Mountain,Industrial,Peaty,Steel
2950,661844,7912,Mountain,Industrial,Loamy,Steel
2951,205246,2518,Urban,Residential,Peaty,Composite
2952,560448,2814,Coastal,Industrial,Chalky,Composite
2953,256242,4912,Mountain,Residential,Loamy,Wood
2954,521083,4383,Suburban,Infrastructure,Chalky,Brick
2955,27633,8716,Coastal,Infrastructure,Peaty,Concrete
2956,813446,7239,Suburban,Industrial,Chalky,Composite
2957,876964,9829,Rural,Residential,Peaty,Wood
2958,59104,8402,Urban,Residential,Sandy,Steel
2959,969125,1689,Mountain,Commercial,Peaty,Composite
2960,873663,7656,Urban,Commercial,Clay,Steel
2961,78388,7842,Urban,Infrastructure,Chalky,Steel
2962,550302,7384,Suburban,Infrastructure,Chalky,Composite
2963,102578,3657,Mountain,Commercial,Silty,Wood
2964,699115,6020,Rural,Residential,Silty,Concrete
2965,574678,2241,Urban,Industrial,Clay,Wood
2966,295855,4188,Suburban,Industrial,Chalky,Brick
2967,101658,7985,Suburban,Residential,Chalky,Brick
2968,67993,5869,Mountain,Infrastructure,Silty,Concrete
2969,215768,6144,Coastal,Industrial,Silty,Brick
2970,168285,9589,Coastal,Residential,Peaty,Steel
2971,781148,4523,Rural,Industrial,Loamy,Brick
2972,461000,1216,Suburban,Residential,Chalky,Composite
2973,803853,4467,Coastal,Commercial,Chalky,Steel
2974,752296,7923,Urban,Commercial,Peaty,Wood
2975,552015,6950,Rural,Industrial,Chalky,Concrete
2976,908850,3715,Urban,Industrial,Clay,Composite
2977,538646,8325,Coastal,Industrial,Silty,Composite
2978,337252,890,Suburban,Industrial,Silty,Concrete
2979,267681,3537,Coastal,Commercial,Loamy,Brick
2980,104018,732,Rural,Commercial,Silty,Concrete
2981,396601,3631,Rural,Residential,Sandy,Concrete
2982,959621,8134,Urban,Industrial,Clay,Brick
2983,304054,733,Urban,Commercial,Clay,Wood
2984,661176,1891,Rural,Infrastructure,Peaty,Concrete
2985,239104,9947,Urban,Residential,Sandy,Brick
2986,852186,1389,Mountain,Residential,Chalky,Composite
2987,203510,8402,Rural,Residential,Loamy,Concrete
2988,119847,1245,Urban,Infrastructure,Clay,Concrete
2989,956875,927,Coastal,Infrastructure,Sandy,Wood
2990,454717,1231,Suburban,Infrastructure,Sandy,Wood
2991,464162,1299,Mountain,Commercial,Clay,Composite
2992,834899,7007,Mountain,Infrastructure,Peaty,Wood
2993,945129,7525,Suburban,Residential,Sandy,Composite
2994,306037,9527,Suburban,Industrial,Silty,Concrete
2995,86329,8124,Coastal,Residential,Sandy,Brick
2996,41007,8826,Suburban,Residential,Chalky,Wood
2997,704892,5883,Mountain,Commercial,Clay,Composite
2998,326397,6707,Coastal,Residential,Chalky,Wood
2999,22323,3038,Suburban,Commercial,Peaty,Wood
3000,907767,4218,Coastal,Commercial,Loamy,Steel
3001,122356,8732,Coastal,Industrial,Silty,Concrete
3002,645232,3867,Urban,Residential,Clay,Wood
3003,214451,5508,Suburban,Industrial,Sandy,Brick
3004,941714,5729,Urban,Industrial,Silty,Steel
3005,288600,7888,Mountain,Residential,Sandy,Composite
3006,565655,2915,Coastal,Residential,Peaty,Composite
3007,64624,7671,Mountain,Infrastructure,Loamy,Brick
3008,413322,3449,Coastal,Infrastructure,Clay,Brick
3009,244565,4761,Suburban,Commercial,Peaty,Concrete
3010,78008,5645,Rural,Residential,Peaty,Brick
3011,922358,3966,Suburban,Commercial,Loamy,Composite
3012,387539,3588,Coastal,Industrial,Peaty,Concrete
3013,126492,1615,Rural,Industrial,Peaty,Brick
3014,82240,5078,Rural,Infrastructure,Sandy,Brick
3015,336459,3090,Suburban,Commercial,Chalky,Composite
3016,996753,7872,Mountain,Residential,Sandy,Concrete
3017,735947,4073,Suburban,Residential,Loamy,Steel
3018,282900,3478,Coastal,Infrastructure,Silty,Steel
3019,471227,9922,Mountain,Infrastructure,Loamy,Concrete
3020,308522,7813,Coastal,Commercial,Loamy,Brick
3021,145327,7522,Mountain,Infrastructure,Loamy,Brick
3022,941988,5475,Urban,Infrastructure,Loamy,Concrete
3023,659991,5425,Mountain,Infrastructure,Peaty,Steel
3024,852981,8547,Urban,Industrial,Loamy,Wood
3025,175575,8590,Coastal,Commercial,Silty,Composite
3026,870226,8551,Suburban,Residential,Loamy,Concrete
3027,509499,5792,Coastal,Residential,Sandy,Wood
3028,503948,7145,Suburban,Commercial,Peaty,Composite
3029,317257,5903,Urban,Infrastructure,Sandy,Wood
3030,608357,3930,Suburban,Infrastructure,Peaty,Wood
3031,239189,2495,Coastal,Residential,Sandy,Composite
3032,408465,6530,Coastal,Industrial,Clay,Wood
3033,261051,4391,Coastal,Commercial,Chalky,Steel
3034,946705,7645,Mountain,Infrastructure,Chalky,Concrete
3035,659829,8998,Coastal,Industrial,Peaty,Steel
3036,723936,2602,Mountain,Industrial,Clay,Steel
3037,521778,3530,Rural,Infrastructure,Silty,Composite
3038,790641,9024,Urban,Commercial,Clay,Composite
3039,281830,8607,Rural,Commercial,Peaty,Composite
3040,515629,742,Rural,Residential,Clay,Wood
3041,325507,2384,Mountain,Residential,Silty,Wood
3042,369687,8515,Mountain,Commercial,Peaty,Concrete
3043,666021,7247,Urban,Infrastructure,Chalky,Wood
3044,185915,8994,Urban,Commercial,Loamy,Concrete
3045,629961,4830,Urban,Residential,Clay,Steel
3046,464179,8363,Coastal,Residential,Chalky,Concrete
3047,52828,3609,Coastal,Residential,Chalky,Concrete
3048,845036,2686,Urban,Commercial,Sandy,Composite
3049,282670,2050,Mountain,Commercial,Silty,Wood
3050,865342,1146,Rural,Infrastructure,Loamy,Brick
3051,35592,6644,Urban,Residential,Clay,Brick
3052,301126,5156,Urban,Industrial,Chalky,Composite
3053,796639,9404,Rural,Industrial,Chalky,Steel
3054,242041,1037,Suburban,Infrastructure,Silty,Steel
3055,360877,7072,Urban,Infrastructure,Loamy,Steel
3056,764296,734,Urban,Residential,Loamy,Concrete
3057,134982,7039,Coastal,Commercial,Chalky,Wood
3058,266911,1874,Rural,Commercial,Chalky,Steel
3059,78619,2409,Urban,Industrial,Chalky,Brick
3060,694688,9607,Urban,Residential,Chalky,Concrete
3061,318623,7718,Suburban,Industrial,Sandy,Steel
3062,511643,580,Rural,Industrial,Sandy,Steel
3063,161175,2583,Urban,Residential,Loamy,Wood
3064,180963,2190,Suburban,Infrastructure,Peaty,Wood
3065,151826,1256,Urban,Industrial,Clay,Concrete
3066,765343,3170,Mountain,Infrastructure,Silty,Brick
3067,877869,4251,Suburban,Commercial,Peaty,Composite
3068,108540,9159,Mountain,Industrial,Sandy,Brick
3069,869414,5761,Urban,Residential,Sandy,Wood
3070,637035,7352,Suburban,Infrastructure,Sandy,Wood
3071,196994,1994,Rural,Commercial,Peaty,Composite
3072,320375,6240,Coastal,Commercial,Sandy,Brick
3073,39301,9711,Urban,Industrial,Peaty,Brick
3074,232724,8555,Suburban,Commercial,Sandy,Composite
3075,524003,1401,Mountain,Residential,Chalky,Wood
3076,203783,1172,Suburban,Industrial,Chalky,Concrete
3077,706683,9130,Rural,Commercial,Clay,Brick
3078,28752,944,Suburban,Residential,Sandy,Steel
3079,747565,9657,Mountain,Infrastructure,Clay,Brick
3080,894884,9155,Urban,Infrastructure,Peaty,Brick
