budget,area size,soil type,project type,strength,material,suppliers,environmental type,labor cost,duration (days),risk factor,energy rating,maintenance cost,permit cost,insurance cost,warranty period (years),site accessibility,design complexity
225048,3522,Chalky,Residential,77.8522963906263,Composite,149,Coastal,39533,370,0.08452391285905625,D,1528,721,10570,7,Easy,Moderate
770581,2360,Clay,Residential,30.22223646426788,Concrete,123,Urban,46713,148,0.0046968455279673416,E,9634,3313,18119,9,Easy,Simple
652120,3639,Clay,Residential,63.261027619384535,Steel,467,Suburban,14685,182,0.2645568183351321,C,11280,4564,7714,1,Difficult,Complex
926838,1574,Peaty,Residential,72.73058616953446,Brick,289,Urban,29935,553,0.8142320622927387,B,8584,4797,2534,3,Difficult,Complex
659438,9975,Peaty,Infrastructure,87.37731060953848,Wood,4,Rural,5264,642,0.6116035216312187,D,18898,862,14067,4,Easy,Complex
167087,7263,Loamy,Industrial,76.05103742100398,Wood,481,Suburban,5412,103,0.13941735687543488,D,15175,1552,7189,5,Easy,Simple
43320,2486,Chalky,Infrastructure,81.89425823970565,Steel,237,Rural,46023,186,0.42646656287238927,D,14290,2133,7022,7,Difficult,Moderate
337025,9693,Chalky,Infrastructure,92.16386213480634,Composite,208,Mountain,14879,250,0.019530155432994523,E,8235,883,23079,9,Moderate,Simple
625115,6827,Chalky,Commercial,63.79944050998651,Steel,172,Coastal,18017,203,0.80226195576604,D,1968,3276,8697,8,Easy,Complex
523287,1546,Chalky,Commercial,86.1652009595815,Composite,385,Rural,33607,267,0.46105850907670587,E,13027,3552,16515,9,Moderate,Moderate
374359,2676,Chalky,Residential,30.868500792265486,Wood,446,Coastal,7017,550,0.2768908651612172,E,1723,4772,13652,8,Moderate,Moderate
953793,2838,Clay,Infrastructure,83.32598537127757,Composite,207,Suburban,41681,573,0.7681325858105479,C,9077,1250,7753,7,Moderate,Complex
269931,1000,Clay,Infrastructure,29.951806717583224,Composite,150,Mountain,44969,525,0.9703500824841994,E,12174,1609,6707,6,Easy,Moderate
930893,2733,Loamy,Industrial,94.11662968685019,Composite,224,Coastal,10576,170,0.40321347796626206,A,15639,3222,11059,7,Moderate,Complex
953187,5108,Silty,Infrastructure,39.69760037119018,Composite,59,Urban,3170,210,0.7654387428602022,D,16726,1954,2038,1,Difficult,Complex
416845,7734,Silty,Commercial,25.465419835805157,Concrete,293,Suburban,18429,127,0.32127038850286505,B,13706,4696,15261,4,Easy,Simple
857982,8472,Loamy,Infrastructure,23.33518841162817,Concrete,151,Mountain,20673,339,0.7580316284163917,D,17180,4410,14223,5,Moderate,Moderate
559114,7110,Loamy,Commercial,26.85449952440491,Concrete,161,Urban,18260,409,0.9651080881261721,A,12131,1253,6138,5,Easy,Complex
110734,1100,Sandy,Residential,50.278627770684935,Concrete,113,Urban,34161,401,0.6503514091969272,E,19410,3943,2703,8,Difficult,Complex
167702,4784,Clay,Commercial,56.99344519720531,Steel,232,Mountain,48014,442,0.23894486532437564,C,8145,701,15772,5,Easy,Moderate
764122,9680,Chalky,Residential,92.24072492715267,Brick,406,Rural,24084,489,0.690128141716541,E,8569,161,1649,5,Difficult,Complex
187235,4983,Sandy,Industrial,44.2913322634926,Composite,448,Mountain,48364,206,0.844609922802784,C,19079,207,6831,5,Easy,Simple
108511,6401,Peaty,Residential,29.57340779083487,Steel,488,Mountain,35536,499,0.4037135638993711,B,8454,2737,10109,8,Easy,Simple
993939,6629,Clay,Infrastructure,76.94390006554434,Concrete,383,Mountain,34000,398,0.6220064612516429,D,8009,484,12796,8,Easy,Simple
283797,2254,Loamy,Commercial,22.118896713574536,Composite,446,Coastal,46343,515,0.252547404073831,E,3199,4279,19067,7,Difficult,Complex
693321,2964,Silty,Residential,90.30550348136691,Brick,374,Rural,37337,586,0.45456440694643196,C,7158,2166,8876,7,Easy,Simple
616229,4982,Clay,Residential,46.845967168792356,Composite,438,Suburban,27999,273,0.165839181965459,C,5224,3494,7144,9,Moderate,Simple
739497,9544,Loamy,Residential,65.24573352894816,Wood,186,Urban,49039,156,0.835538257167381,A,3998,2135,6240,7,Easy,Moderate
830094,7900,Clay,Residential,26.756590835487035,Wood,239,Coastal,39673,687,0.0967097040217123,A,8232,801,12384,8,Easy,Complex
108818,7306,Clay,Residential,23.097623417185304,Steel,247,Rural,18215,141,0.0558412174256413,D,19098,3249,14466,6,Easy,Simple
983950,9143,Clay,Residential,81.895543727937,Brick,140,Mountain,42046,471,0.5343972753503795,C,11885,1131,12555,1,Difficult,Simple
162360,7896,Peaty,Commercial,48.67320627231039,Steel,112,Coastal,40808,300,0.5824763506073213,B,3350,2762,11784,3,Moderate,Complex
787915,7838,Silty,Infrastructure,98.80685314535891,Composite,402,Coastal,11409,343,0.9182659421605621,C,3777,609,20545,1,Moderate,Complex
629369,5741,Clay,Infrastructure,57.18681500072064,Brick,480,Urban,8761,692,0.2032831590043077,C,14248,980,11430,5,Easy,Complex
571165,7894,Loamy,Residential,86.10876196819207,Steel,195,Suburban,17221,436,0.7780035599968125,E,1284,3611,13429,9,Moderate,Simple
383706,6937,Peaty,Commercial,98.19673108492917,Composite,444,Rural,10426,266,0.6440691785150184,E,2311,3808,15805,6,Moderate,Moderate
942817,5195,Sandy,Residential,35.303514535765146,Concrete,125,Rural,26068,191,0.7416715212328665,A,1137,2002,9043,3,Easy,Moderate
221957,3088,Clay,Industrial,82.07935409398294,Composite,356,Rural,31608,410,0.15745088386454065,E,3857,2365,7815,9,Moderate,Complex
82715,2282,Peaty,Infrastructure,11.980554699218139,Steel,239,Mountain,39427,490,0.44645864938040025,C,17509,817,8178,8,Difficult,Simple
151398,6447,Chalky,Residential,71.1778706254926,Brick,494,Mountain,25597,342,0.35608057265620363,E,19328,3450,23108,6,Moderate,Simple
644379,7094,Sandy,Commercial,77.06809820060644,Brick,1,Coastal,4877,310,0.6995549521356347,A,1401,4757,24413,7,Easy,Moderate
529052,4020,Silty,Infrastructure,52.96273411919521,Concrete,121,Suburban,13319,585,0.5935343064832865,D,1323,278,17869,1,Easy,Complex
142632,3718,Clay,Commercial,24.58946891057518,Steel,89,Urban,34112,170,0.9675355506815262,B,7014,4776,4420,8,Moderate,Complex
875580,4257,Clay,Industrial,65.50484932706048,Concrete,20,Urban,23383,83,0.13873956660645637,C,9196,3261,4965,9,Easy,Complex
93186,4516,Peaty,Residential,90.77757934920017,Wood,273,Suburban,2160,568,0.4735763040802399,B,17998,3442,8026,9,Difficult,Simple
954249,3337,Silty,Industrial,93.8187279620442,Composite,177,Rural,1483,549,0.6938496743131515,D,1136,790,7259,2,Moderate,Simple
697250,6500,Chalky,Infrastructure,77.14921513776426,Wood,406,Suburban,49639,513,0.3687839393601938,C,15877,440,13864,5,Difficult,Complex
161094,7534,Sandy,Residential,33.73419325830418,Wood,114,Urban,2828,531,0.923193397479389,B,7829,3116,14488,6,Moderate,Simple
920061,7809,Loamy,Infrastructure,88.3294233453928,Concrete,417,Mountain,40488,200,0.8525590216611222,D,14351,3812,18126,5,Moderate,Moderate
980083,4739,Silty,Residential,89.99407600315254,Concrete,282,Suburban,27460,405,0.8729265535914751,C,5880,4290,14395,7,Easy,Moderate
604604,4928,Clay,Commercial,43.051798517069855,Composite,27,Coastal,31286,106,0.6090435408579532,D,11101,1207,1605,7,Easy,Complex
38380,4650,Peaty,Infrastructure,26.46835628893126,Concrete,188,Mountain,17699,212,0.47168339168239903,C,1349,1176,12169,7,Easy,Simple
644486,1946,Chalky,Industrial,88.71934907200314,Concrete,418,Coastal,46980,34,0.36790640869012026,C,10491,3943,12836,8,Easy,Complex
274500,6968,Peaty,Industrial,89.65875837275328,Concrete,87,Coastal,11068,600,0.11969504597513081,D,9877,2757,8351,3,Moderate,Simple
80326,6290,Sandy,Commercial,19.081547609609267,Concrete,80,Suburban,47142,266,0.9482365690426255,A,17450,2538,1422,7,Difficult,Moderate
888879,4675,Silty,Commercial,97.02858630002395,Concrete,462,Coastal,28211,696,0.26362599143182386,B,5006,485,19353,3,Difficult,Simple
649282,5580,Peaty,Industrial,57.9772497770918,Wood,180,Rural,36097,528,0.8020792146288793,A,4929,4328,9683,1,Difficult,Moderate
230971,1364,Loamy,Commercial,99.43571754486426,Wood,55,Suburban,33556,48,0.011899976584023753,E,4455,2855,13918,4,Difficult,Moderate
816481,7360,Loamy,Residential,50.05074251950133,Composite,247,Urban,33606,94,0.3814977344366578,B,3911,294,15109,9,Easy,Moderate
478933,9163,Peaty,Industrial,57.99550054235933,Brick,317,Rural,10805,351,0.5711062360033486,C,13709,866,1111,5,Easy,Moderate
901793,6717,Clay,Infrastructure,33.947454877412106,Composite,434,Mountain,38238,265,0.3143795875613644,B,4636,2959,1034,6,Easy,Simple
812514,6172,Peaty,Industrial,90.90527009638325,Steel,233,Suburban,14574,695,0.19389616127158926,B,1466,3019,15644,1,Moderate,Complex
797093,2002,Chalky,Commercial,49.934090536531954,Composite,447,Urban,48042,318,0.07145044990061888,E,2251,774,6431,4,Moderate,Simple
178484,5184,Silty,Residential,83.31526482646454,Composite,448,Urban,35868,265,0.9891085724980394,A,14906,4715,14340,8,Difficult,Complex
799352,1910,Sandy,Infrastructure,17.176084758557444,Concrete,270,Suburban,1808,451,0.886409785680069,C,10162,1008,23439,4,Easy,Moderate
494410,4270,Loamy,Industrial,80.94219656453313,Concrete,382,Rural,5611,420,0.31235245656875854,B,18615,4303,4392,6,Difficult,Moderate
779666,5159,Peaty,Industrial,54.12188280263274,Concrete,109,Urban,26089,34,0.01579367687310107,A,7850,1658,1372,5,Easy,Moderate
987819,4501,Chalky,Infrastructure,10.486709175979538,Brick,474,Suburban,19722,166,0.5405758191154351,E,12238,4237,9127,1,Easy,Moderate
351705,3983,Loamy,Residential,30.363664509891542,Concrete,238,Suburban,41954,426,0.3214898795792308,A,6468,2576,20981,3,Easy,Simple
805378,5062,Loamy,Commercial,27.435719029880527,Steel,378,Coastal,6024,77,0.11575198370149076,E,15481,4744,19953,2,Easy,Simple
235314,1098,Sandy,Commercial,77.65881231784958,Wood,307,Suburban,2896,587,0.7903070159658696,B,15300,2210,18152,7,Moderate,Moderate
448716,9683,Loamy,Commercial,52.94819708138967,Steel,369,Urban,41369,93,0.33817403820639735,C,1758,212,20406,5,Difficult,Simple
769900,3541,Chalky,Commercial,24.37465570183877,Brick,155,Coastal,20084,570,0.972851794927161,A,3622,3995,17782,7,Moderate,Complex
812741,8660,Loamy,Infrastructure,33.11226793407273,Concrete,168,Urban,41050,559,0.7061826284813189,E,1809,1154,15249,9,Easy,Complex
589518,6891,Loamy,Residential,55.36691247752964,Composite,68,Rural,2138,699,0.8397199347968404,C,15469,1726,11592,6,Moderate,Complex
908254,7787,Peaty,Residential,11.767437758770647,Wood,265,Rural,48878,48,0.6217822494648296,B,4727,4369,3885,5,Easy,Simple
501872,566,Peaty,Industrial,48.17130292894363,Brick,440,Urban,17507,205,0.5617037172249079,A,9291,3676,18645,9,Difficult,Simple
526998,8623,Silty,Industrial,71.0255263288366,Steel,475,Mountain,33505,542,0.4280353110729367,D,11760,1701,13317,1,Easy,Simple
957531,3250,Clay,Residential,56.59791267572909,Concrete,235,Mountain,49422,247,0.08311642669551422,C,19131,1463,10333,5,Difficult,Simple
529984,9161,Chalky,Industrial,63.82895869679489,Brick,39,Mountain,27478,580,0.7374049408607416,A,1106,4863,18947,4,Difficult,Complex
475757,7306,Clay,Residential,39.39563053104848,Brick,143,Urban,19010,596,0.33984145310481084,E,1173,4914,19537,6,Difficult,Complex
384484,6929,Clay,Infrastructure,26.47681516177802,Composite,345,Suburban,35352,520,0.1966823883748018,D,5934,3867,4358,6,Moderate,Moderate
518062,8623,Loamy,Infrastructure,82.87671613196629,Composite,18,Coastal,20842,337,0.11441332914804214,C,7656,3172,23800,1,Difficult,Moderate
593609,2131,Sandy,Commercial,91.50713842927244,Composite,52,Suburban,22144,484,0.07834378699114897,D,2620,1083,3272,9,Difficult,Complex
142028,6952,Sandy,Residential,55.96665133374042,Steel,445,Urban,35173,53,0.47541733634666405,C,17735,3584,3004,1,Easy,Moderate
241447,1274,Loamy,Infrastructure,37.45370913232517,Composite,222,Suburban,12485,312,0.8369853647677142,B,1307,3214,11033,5,Moderate,Moderate
870563,6607,Chalky,Residential,56.0084346566187,Brick,293,Rural,27614,400,0.12871234727210734,E,1442,2237,16446,4,Moderate,Complex
451124,8304,Clay,Industrial,89.1086968573656,Brick,80,Coastal,32885,607,0.5147359771018956,E,12449,1206,4419,6,Easy,Simple
822395,4519,Silty,Residential,72.22657126376058,Brick,181,Urban,2244,148,0.37910660499394333,B,7669,901,3768,9,Moderate,Simple
636045,1429,Clay,Commercial,87.27544776611057,Wood,140,Coastal,6892,278,0.539917807337556,C,2142,4516,19445,8,Difficult,Complex
442659,3512,Sandy,Commercial,39.554148077024536,Wood,209,Mountain,13274,91,0.05803555774146485,C,13249,2611,6583,3,Easy,Complex
895691,5524,Clay,Infrastructure,74.07812155037463,Steel,409,Mountain,19514,429,0.5351352339618698,E,4125,1627,4842,9,Easy,Moderate
311207,6764,Peaty,Industrial,68.7744074360455,Composite,335,Rural,49032,169,0.5499660013140616,A,13601,2235,2220,6,Easy,Complex
386369,8473,Peaty,Industrial,61.44548145853756,Brick,281,Urban,39390,581,0.8700835312745293,C,6932,955,9030,3,Difficult,Moderate
388544,5229,Silty,Residential,57.54023787074579,Composite,405,Mountain,18714,247,0.1995051568797327,B,4075,4988,3550,7,Easy,Complex
352962,8461,Chalky,Industrial,59.58800948256373,Brick,122,Coastal,42942,39,0.8147411762591064,E,728,3270,3371,3,Difficult,Moderate
276847,3319,Clay,Commercial,86.47039807540291,Wood,211,Coastal,36900,596,0.7514189073730675,B,3323,4192,7774,3,Difficult,Moderate
730488,7155,Peaty,Infrastructure,92.43950509037305,Brick,344,Rural,21826,118,0.9144613426541942,B,986,2570,15274,4,Easy,Moderate
606387,1684,Chalky,Infrastructure,20.157441794671442,Steel,135,Mountain,20982,545,0.9129328409779558,C,19549,3764,11555,7,Moderate,Complex
429065,8980,Peaty,Infrastructure,61.189441983130095,Concrete,460,Suburban,14671,503,0.7661399916282177,B,8690,4642,11982,6,Easy,Moderate
697220,6843,Chalky,Industrial,92.65675802259112,Brick,177,Mountain,18728,282,0.9252547270197011,E,17022,4427,13386,8,Easy,Simple
41585,1027,Chalky,Industrial,22.126598664318472,Steel,39,Rural,48379,412,0.258954502135612,A,4744,3018,20017,3,Moderate,Complex
425231,1416,Peaty,Commercial,47.15734359672156,Wood,75,Mountain,5840,52,0.15562957495601593,E,11127,1308,12702,2,Moderate,Complex
577873,4074,Loamy,Residential,18.017215421581355,Wood,353,Urban,20695,642,0.28037123762285077,D,18146,1329,16044,2,Difficult,Moderate
299102,3819,Sandy,Residential,20.212876180876368,Concrete,49,Rural,6269,590,0.8398699429637939,E,7936,4044,13877,5,Moderate,Complex
298161,1906,Chalky,Infrastructure,91.36997313035799,Composite,217,Suburban,30404,391,0.31352367252600577,D,1810,4123,16990,1,Moderate,Moderate
396821,1741,Loamy,Infrastructure,50.156162634744405,Composite,246,Coastal,1428,414,0.8186491554404796,C,2472,3566,8169,4,Moderate,Complex
972854,5706,Clay,Industrial,71.98656886041388,Brick,231,Mountain,39922,708,0.37197325536933423,D,14083,4829,24037,9,Easy,Simple
939705,7749,Loamy,Infrastructure,22.502298091918,Wood,418,Coastal,36232,416,0.7995046014183155,A,19814,339,1078,1,Difficult,Simple
825858,3633,Peaty,Commercial,11.97527341534802,Steel,255,Rural,12454,269,0.8471742444089362,C,2651,2482,2155,1,Moderate,Moderate
289922,1298,Loamy,Commercial,90.14355616139775,Concrete,203,Coastal,9741,344,0.6778724839157774,A,12836,2520,23121,5,Difficult,Complex
710601,2023,Sandy,Infrastructure,61.709107559411976,Composite,144,Urban,46822,653,0.9795782002533477,D,11037,3535,24947,1,Difficult,Moderate
52229,7709,Peaty,Infrastructure,11.798898001390617,Brick,352,Rural,21936,236,0.7303198900003603,C,2001,4852,9776,7,Difficult,Complex
96652,5428,Silty,Infrastructure,99.31055328351884,Brick,399,Rural,43252,264,0.24513790552919879,D,7491,4478,4203,3,Easy,Simple
924699,3388,Clay,Infrastructure,54.297314471238224,Wood,296,Mountain,16860,303,0.9844118491837388,B,19895,182,3590,6,Easy,Simple
259474,3190,Silty,Infrastructure,52.828885734874824,Steel,463,Rural,44251,178,0.6838122894555514,A,15717,4166,16787,7,Difficult,Complex
713724,4591,Loamy,Commercial,65.88227658903591,Steel,7,Urban,38143,597,0.4357388425227464,B,10215,1677,17695,9,Easy,Simple
922935,7782,Chalky,Residential,10.71140807759159,Composite,101,Mountain,20603,310,0.4919285008149439,A,18764,281,17133,4,Difficult,Simple
270116,9933,Loamy,Commercial,61.222453633579605,Brick,296,Urban,25106,189,0.7661224744112297,A,2074,1238,9253,1,Moderate,Moderate
881310,6749,Chalky,Commercial,66.65355135906911,Wood,450,Suburban,10324,99,0.7532380663522064,C,11997,3254,1101,8,Moderate,Moderate
853488,1190,Silty,Infrastructure,36.72582112927654,Steel,326,Mountain,29088,369,0.8411057628104194,B,17202,2400,23237,1,Moderate,Complex
954994,9219,Silty,Residential,75.41671687914686,Brick,228,Rural,11688,270,0.24071745094155184,D,1034,2466,21301,9,Easy,Simple
530985,1995,Chalky,Infrastructure,43.9688634596171,Steel,103,Rural,44963,192,0.9480648927404438,C,4961,3307,24907,4,Difficult,Complex
29975,1392,Sandy,Commercial,74.59958210123261,Concrete,486,Rural,10770,112,0.26150981531612916,A,11040,3417,20955,9,Easy,Moderate
167795,9078,Clay,Residential,22.944266060726285,Steel,92,Suburban,1851,644,0.48048293439185197,D,3574,3356,1267,5,Difficult,Simple
426495,9941,Peaty,Industrial,92.23280344369162,Steel,278,Urban,26703,489,0.21137270263325347,A,16106,844,7575,9,Difficult,Moderate
219373,6373,Silty,Infrastructure,89.15116362906342,Brick,357,Rural,28840,190,0.43428752377419766,A,11528,1920,20757,5,Easy,Complex
939065,5003,Clay,Industrial,23.55638284789935,Steel,187,Coastal,38490,643,0.6498865461339068,D,16375,1263,10624,5,Moderate,Moderate
207133,1397,Peaty,Industrial,94.46085433769689,Steel,389,Rural,42533,269,0.49184346981851124,E,19479,414,11281,5,Easy,Moderate
884829,1210,Loamy,Industrial,60.20022454905465,Concrete,146,Mountain,26797,515,0.2485184312125518,D,7395,2129,22117,3,Easy,Moderate
714513,4195,Peaty,Industrial,73.14847105284716,Steel,267,Mountain,7907,700,0.387022224564624,C,5219,2610,20786,4,Easy,Complex
305286,3186,Silty,Residential,85.62644131388757,Steel,119,Coastal,31824,232,0.594481593260136,D,10555,314,15646,1,Moderate,Moderate
823348,7688,Sandy,Infrastructure,17.521295237200327,Brick,264,Suburban,13316,453,0.8977613900854511,C,8257,3456,2560,7,Easy,Simple
598612,6278,Sandy,Residential,25.23559217195499,Wood,276,Mountain,46224,226,0.42371285720958896,B,11560,859,16721,8,Moderate,Complex
186037,8268,Clay,Infrastructure,36.13518293373656,Concrete,203,Suburban,18934,71,0.5748666399084967,D,19044,2891,6315,4,Moderate,Simple
398076,5513,Loamy,Infrastructure,52.948403324831226,Steel,59,Suburban,10060,243,0.9108510885011782,B,10969,3726,11237,4,Moderate,Moderate
670008,5012,Clay,Infrastructure,41.14490556688665,Wood,347,Coastal,8698,713,0.841061610818227,D,4278,1896,12489,9,Moderate,Simple
700493,915,Chalky,Residential,55.52617392478477,Brick,477,Mountain,22367,282,0.1853471175458976,C,15783,1606,1921,1,Moderate,Moderate
978181,4680,Sandy,Commercial,26.732532460936266,Concrete,153,Rural,7600,46,0.3617426168293667,B,11488,2138,5209,4,Moderate,Moderate
630347,4762,Clay,Industrial,71.39387259398481,Brick,186,Suburban,49616,689,0.7887465860858622,E,4989,1417,19995,8,Easy,Simple
632605,3015,Chalky,Commercial,15.016139306535804,Wood,115,Suburban,7586,145,0.7310316361312694,D,15784,249,10812,4,Moderate,Simple
735495,9787,Loamy,Commercial,42.53045555871654,Concrete,275,Mountain,10552,233,0.7672258847742431,C,2457,3056,13223,9,Moderate,Simple
307190,9501,Peaty,Commercial,26.112992020401034,Steel,381,Mountain,16967,180,0.15947296508299869,C,5902,1917,23585,9,Easy,Simple
450280,6140,Clay,Industrial,75.69399446836123,Wood,386,Coastal,30467,275,0.4600880879941748,A,11665,2649,1440,6,Difficult,Complex
111459,7116,Chalky,Commercial,89.52880049469202,Brick,362,Urban,23713,87,0.6951980104421526,C,5693,2765,17071,3,Moderate,Simple
771985,1492,Sandy,Industrial,17.09075882831274,Concrete,487,Urban,37404,536,0.40588409083842214,C,4891,211,15275,2,Difficult,Complex
210422,9973,Peaty,Industrial,80.653407027976,Wood,236,Urban,33764,270,0.5644871001045498,D,19585,994,18610,8,Moderate,Complex
842325,4870,Clay,Industrial,90.6150064349892,Wood,442,Suburban,44305,121,0.759666312400847,B,12450,2910,17129,5,Easy,Complex
111520,2273,Sandy,Infrastructure,97.65731949526496,Brick,66,Coastal,32560,642,0.5036351505352046,D,3250,3716,13626,4,Easy,Complex
922250,4061,Peaty,Infrastructure,62.14476258505801,Brick,263,Urban,33346,635,0.6102274963468212,D,7546,3676,18526,5,Difficult,Simple
595560,4316,Silty,Commercial,39.46526974066661,Steel,51,Mountain,10670,427,0.343130505848793,E,3218,1721,11022,4,Moderate,Simple
757512,7133,Sandy,Infrastructure,38.97762398805972,Steel,351,Suburban,29120,421,0.365069059903532,E,10730,3232,22238,6,Easy,Moderate
526123,2256,Silty,Industrial,44.10730713650074,Wood,417,Suburban,19397,75,0.18764745296452245,D,7795,4458,5040,8,Easy,Simple
339793,2873,Loamy,Infrastructure,65.14006665948642,Brick,331,Mountain,45108,184,0.9918221126238486,E,13453,4949,9943,4,Easy,Simple
336818,3076,Clay,Industrial,54.12070109252125,Wood,232,Coastal,40553,99,0.6070392529213569,A,11567,3944,5966,9,Difficult,Complex
154832,9583,Chalky,Residential,68.82715237661515,Composite,360,Coastal,18041,540,0.19442015618422792,C,14649,3997,2611,5,Easy,Moderate
162999,4684,Clay,Infrastructure,13.538248617661854,Brick,494,Urban,34012,311,0.16439023781843587,D,8007,900,17651,4,Difficult,Simple
358619,9399,Sandy,Commercial,19.52933953430023,Composite,13,Mountain,38881,455,0.2285633916920774,B,7659,4005,20195,2,Easy,Complex
71367,2897,Silty,Residential,97.8885549484085,Composite,394,Rural,21148,59,0.7177944894010619,E,12463,3402,6112,7,Easy,Simple
763315,6469,Silty,Residential,99.58469519676147,Brick,369,Coastal,25711,291,0.498814862062232,A,15298,1116,2190,4,Moderate,Moderate
415804,5035,Peaty,Infrastructure,77.19929354254509,Steel,315,Urban,14448,352,0.5355555202832996,E,4645,570,18695,7,Easy,Simple
918182,7383,Clay,Infrastructure,33.07574351629268,Wood,294,Suburban,42164,112,0.6960584188282778,A,17729,3130,19116,9,Easy,Simple
767038,8627,Clay,Commercial,95.8043560960495,Concrete,20,Coastal,10075,496,0.7289692353194077,A,17404,600,12719,8,Difficult,Simple
245806,9668,Sandy,Residential,29.23325144125332,Concrete,213,Rural,4732,245,0.7466386398040858,A,11992,2087,18001,9,Moderate,Simple
914586,1234,Silty,Industrial,75.82881901848452,Brick,270,Suburban,31779,64,0.07975089370615818,D,12367,233,21383,4,Moderate,Simple
717593,1132,Sandy,Infrastructure,20.373248052283493,Steel,472,Suburban,41774,34,0.832411149275047,C,710,169,15322,3,Moderate,Moderate
54738,4768,Sandy,Residential,68.40140487038508,Steel,40,Mountain,31110,35,0.1743771420265139,D,12679,959,13565,2,Easy,Complex
567685,4599,Loamy,Residential,78.35635030205223,Steel,135,Mountain,26460,276,0.6348320764974814,C,6694,4784,3519,2,Moderate,Moderate
354333,3401,Silty,Industrial,87.36761301292744,Concrete,453,Coastal,48741,122,0.22548314717873563,B,16642,1962,1178,8,Easy,Moderate
348511,2163,Sandy,Residential,76.08755257192095,Composite,262,Rural,10174,344,0.8261643706783887,E,5934,905,5186,9,Moderate,Simple
212332,6091,Silty,Infrastructure,93.11368198199068,Concrete,424,Mountain,11636,464,0.7651298662009076,D,11859,4803,4249,6,Difficult,Simple
392729,4372,Sandy,Industrial,56.88309321106525,Steel,181,Urban,15380,219,0.1752369552247416,E,9068,3545,6548,4,Easy,Simple
873051,1554,Chalky,Infrastructure,70.9685746203995,Concrete,227,Suburban,25547,573,0.5502745671301673,E,17672,3155,18567,5,Easy,Simple
121453,9072,Sandy,Commercial,43.25950765795168,Concrete,265,Urban,31721,462,0.7216927614127104,B,18135,1849,12881,5,Difficult,Simple
29816,3582,Sandy,Residential,10.935050436038127,Wood,106,Suburban,6281,255,0.16924964931025577,E,15631,1222,10333,5,Moderate,Simple
969744,8507,Chalky,Infrastructure,78.10236599206064,Brick,321,Urban,26281,265,0.1463726264005084,C,8729,3411,11269,1,Moderate,Simple
933780,4761,Clay,Infrastructure,88.2874583084085,Composite,487,Suburban,3606,569,0.37575118456154477,D,18089,1305,1099,4,Difficult,Moderate
779299,2889,Silty,Commercial,25.65320293087543,Wood,404,Mountain,27849,228,0.9185854378421664,B,10552,3579,7929,2,Difficult,Simple
875962,4053,Peaty,Residential,12.5776676498762,Brick,390,Urban,42985,450,0.06777690940256864,C,12730,2756,13139,6,Difficult,Simple
426715,5638,Chalky,Infrastructure,24.805166095131725,Steel,96,Coastal,37051,570,0.3588723386896593,C,3170,1124,10107,9,Moderate,Moderate
381000,9899,Clay,Industrial,90.57603639153602,Wood,461,Coastal,35084,176,0.8063422621506321,B,2070,1975,23089,1,Moderate,Complex
223567,1044,Sandy,Infrastructure,36.59593504341968,Brick,295,Rural,36919,141,0.34424381443613494,B,11713,1170,5539,2,Easy,Complex
524933,4163,Loamy,Infrastructure,31.033370336830455,Wood,488,Rural,33886,137,0.055097347410203,E,16086,4837,5839,3,Difficult,Simple
605923,2739,Clay,Infrastructure,11.313084235889473,Concrete,123,Rural,5693,560,0.6326037950794112,A,3511,853,20233,9,Easy,Complex
904235,4273,Chalky,Infrastructure,36.734963248905956,Concrete,277,Urban,15903,464,0.957892827395675,C,9379,2435,3035,5,Easy,Moderate
226184,3127,Loamy,Residential,74.40751693200127,Wood,37,Suburban,40486,497,0.5796530784043182,C,14737,396,22157,5,Easy,Simple
308090,7118,Sandy,Infrastructure,96.31803595385976,Wood,268,Rural,13295,402,0.8144216978183336,A,12081,982,20856,6,Easy,Simple
327348,7280,Clay,Commercial,38.146710919387,Composite,198,Mountain,35676,300,0.014190256495794973,C,15070,3541,24600,5,Easy,Moderate
192958,8515,Peaty,Infrastructure,31.66167881896239,Steel,255,Coastal,21469,218,0.6605348296493635,D,17026,3897,2654,1,Easy,Simple
999156,3630,Silty,Industrial,89.92621184163708,Concrete,15,Coastal,40146,594,0.15098842153509906,E,16636,1834,24494,9,Difficult,Moderate
287707,596,Silty,Industrial,86.72543657490057,Wood,405,Mountain,34194,541,0.698556003279308,E,1031,2603,4186,4,Moderate,Simple
102324,4358,Chalky,Infrastructure,39.53443781293178,Brick,85,Coastal,11841,144,0.5701036588693167,D,8503,3682,4845,5,Easy,Complex
233536,3208,Sandy,Infrastructure,16.19246383813486,Steel,92,Urban,6735,36,0.22165697894318137,A,11572,4802,1233,7,Moderate,Complex
767232,5897,Sandy,Commercial,99.27904964200684,Brick,100,Mountain,27902,496,0.5850282001067845,B,15020,3199,9631,4,Easy,Simple
281991,6652,Silty,Commercial,71.26338587156063,Steel,465,Urban,49015,377,0.6761619048270159,C,11009,475,11007,3,Moderate,Moderate
36155,956,Clay,Residential,93.39224473757209,Brick,174,Coastal,48956,105,0.9021366649167143,C,18671,1833,14627,9,Moderate,Complex
351815,6414,Sandy,Residential,40.76870268875153,Concrete,455,Mountain,6881,640,0.8888468411567261,B,1773,4743,2863,6,Easy,Simple
